"keys","tr","en","de","fr","es","it","pt_BR","ru","pl","zh_CN","ja"
"EVT_KIN_TEXT","Yol kenarına kurulmuş birkaç çadır, sönmek üzere bir ateş. Başlarındaki adam sizi süzüyor - dost mu düşman mı, henüz belli değil.","A few tents pitched by the road, a fire burning low. The man at their head looks you over - friend or stranger, not yet clear.","","","","","","","","",""
"EVT_KIN_OPT_TRADE","Erzak için pazarlık et","Bargain for provisions","","","","","","","","",""
"EVT_KIN_OPT_GREET","Selam ver, ateşlerine otur","Greet them and sit at their fire","","","","","","","","",""
"EVT_KIN_TRADE_KIN","Ağzını açar açmaz kendi lehçeni duydu. Ölçüyü bol tuttu, üstüne bir de yol azığı kattı.","The moment you spoke he heard his own dialect. He measured generously, and threw in road rations besides.","","","","","","","","",""
"EVT_KIN_TRADE_PLAIN","Fiyatta anlaştınız. Ne fazla cömert ne de cimri - dürüst bir alışveriş.","You settled on a price. Neither generous nor mean - an honest trade.","","","","","","","","",""
"EVT_KIN_GREET_KIN","Aynı boydan olduğunuz anlaşılınca ateş büyütüldü. Sabaha kadar türkü söylendi, kadro yıllardır bu kadar dinlenmemişti.","When it came out that you were of the same people, the fire was built up. There was singing until dawn; the crew had not rested like that in years.","","","","","","","","",""
"EVT_KIN_GREET_PLAIN","Selamınız alındı, bir tas çorba içirildi. Yol arkadaşlığı bu kadarıyla kaldı.","Your greeting was returned and a bowl of soup poured. The companionship went no further than that.","","","","","","","","",""
"EVT_PORT_GOSSIP_TREASURE","Sarhoş bir kâtip, batan bir geminin yükünün nereye vurduğunu anlattı. Sabah oraya uğradınız.","A drunken clerk let slip where a sunken ship's cargo had washed up. You called there at dawn.","","","","","","","","",""
"EVT_PORT_GOSSIP_INTRIGUE","Duyduğunuz şey bir mal değil bir isimdi. Doğru kulağa fısıldayınca İpekevi'nde kumaşın fiyatı düştü - ve size borçlu biri oldu.","What you heard was not a cargo but a name. Whispered into the right ear, the price of cloth in İpekevi fell - and someone came to owe you.","","","","","","","","",""
"EVT_PORT_GOSSIP_MYSTERY","Kimsenin adını anmadığı bir şeyden söz ettiler. Ertesi sabah çadırınızın önünde bir muska buldunuz. Kim bıraktı, bilen yok.","They spoke of something no one would name. Next morning you found a charm outside your tent. Nobody knows who left it.","","","","","","","","",""
"EVT_PORT_GOSSIP_NOTHING","Bir saat dinlediniz, işinize yarar tek bir şey duymadınız. Hesabı da siz ödediniz - ama liman ağzı böyle açılır.","You listened for an hour and heard nothing useful. You paid the bill too - but that is how a harbour loosens its tongue.","","","","","","","","",""
"EVT_LANDSLIDE_TITLE","Heyelan","Landslide","","","","","","","","",""
"EVT_LANDSLIDE_TEXT","Yamaçtan kopan taş ve toprak geçidi kapatıyor. Tozun ardında yolun ne kadarının kaldığı belli değil; arkadan gelen kervanlar bu yoldan bir süre geçemeyecek.","Rock and earth peel off the slope and bury the pass. Behind the dust there is no telling how much road is left; no caravan will come through here for a while.","","","","","","","","",""
"EVT_LANDSLIDE_OPT_PUSH","Enkazın kenarından sıyrılıp geç","Squeeze past the edge of the slide","","","","","","","","",""
"EVT_LANDSLIDE_OPT_CLEAR","Tayfayı indir, yolu bir nebze aç","Put the crew to work and clear a lane","","","","","","","","",""
"EVT_LANDSLIDE_PUSH_OK","Tekerlekler uçurumun kıyısını sıyırdı; kervan dar geçidi kaybetmeden aştı.","The wheels graze the lip of the drop, but the caravan makes it through without losing anything.","","","","","","","","",""
"EVT_LANDSLIDE_PUSH_LOST","Kayan toprak bir vagonun altını boşalttı. Halatlar koptu, vagon yamaçtan aşağı gitti.","The sliding earth gives way under one wagon. The ropes snap and it goes over the edge.","","","","","","","","",""
"EVT_PATROL_TITLE","Yol Devriyesi","Road Patrol","","","","","","","","",""
"EVT_PATROL_TEXT","Mızraklı bir devriye yolu tarıyor. Çavuş, kervanın bir süre onlarla birlikte yürümesini öneriyor: yavaş olur ama bu güzergâhtaki eşkıyayı temizlemeye niyetliler.","A patrol of spearmen is sweeping the road. Their sergeant offers to have the caravan march with them: slower going, but they mean to clear this stretch of brigands.","","","","","","","","",""
"EVT_PATROL_OPT_JOIN","Devriyeye katıl, yolu temizlemelerine yardım et","Fall in with the patrol and help clear the road","","","","","","","","",""
"EVT_PATROL_OPT_FIGHT","Kılıcını çek, haydutları birlikte temizleyin","Draw steel and help them clear the brigands","","","","","","","","",""
"EVT_PATROL_OPT_PASS","Selam ver, kendi hızında devam et","Salute them and keep your own pace","","","","","","","","",""
"EVT_ROUTE_DIVERSION_TITLE","Bozulan Anlaşmalar","Broken Arrangements","","","","","","","","",""
"EVT_ROUTE_DIVERSION_TEXT","Yön değiştirdiniz. Eski varış şehri için anlaşılan tüccarlar bu haberi almış, yola çıktıkları için artık ellerinde boş yer var - biri sizi bulup zararını ister.","You've changed course. The merchants who arranged passage to the old destination have heard the news, and now have empty room on the road - one tracks you down wanting his loss covered.","","","","","","","","",""
"EVT_ROUTE_DIVERSION_OPT_PAY","Zararını öde (60 GG)","Cover his loss (60 GG)","","","","","","","","",""
"EVT_ROUTE_DIVERSION_OPT_PAY_LOCKED","Yeterli altının yok","You lack the gold","","","","","","","","",""
"EVT_ROUTE_DIVERSION_OPT_IGNORE","Umursama, yoluna git","Ignore him and move on","","","","","","","","",""
"EVT_FORAGE_TITLE","Yol Kenarı","By the Roadside","","","","","","","","",""
"EVT_FORAGE_TEXT","Yol kenarındaki çayır yenilebilir otlar ve meyvelerle dolu. Bir mola verip toplamak vakit alır ama erzağı tazeler.","The verge is thick with edible greens and berries. Stopping to gather them costs time but freshens the stores.","","","","","","","","",""
"EVT_FORAGE_OPT_GATHER","Topla (mola ver)","Gather it (take a break)","","","","","","","","",""
"EVT_FORAGE_OPT_SKIP","Durma, yürümeye devam et","Don't stop, keep walking","","","","","","","","",""
"EVT_PARTY_THEFT_TITLE","Eksilen Eşya","Missing Belongings","","","","","","","","",""
"EVT_PARTY_THEFT_TEXT","Sabah sayımında bir yoldaşın eşyası eksik çıktı. Kimse bir şey görmediğini söylüyor - ya da görmediğini iddia ediyor.","This morning's count turns up one of your companions missing something. Nobody admits to seeing anything - or nobody who saw anything is admitting it.","","","","","","","","",""
"EVT_PARTY_THEFT_OPT_INVESTIGATE","Araştır - kim aldığını bul","Look into it - find out who took it","","","","","","","","",""
"EVT_PARTY_THEFT_OPT_SHRUG","Boş ver, kervan devam etsin","Let it go, the caravan moves on","","","","","","","","",""
"EVT_PARTY_INVESTIGATION_TITLE","Suçlama","The Accusation","","","","","","","","",""
"EVT_PARTY_INVESTIGATION_TEXT","Sorular sonunda bir isimde birleşti. Şimdi onu açıkça suçlamak mı, yoksa bırakmak mı - seçim seninki, kanıt ise hâlâ dolaylı.","The questions have narrowed to one name. Accuse them outright, or let it drop - the choice is yours, though the evidence is still circumstantial.","","","","","","","","",""
"EVT_PARTY_INVESTIGATION_OPT_ACCUSE","Açıkça suçla","Accuse them outright","","","","","","","","",""
"EVT_PARTY_INVESTIGATION_HINT","Sezgisi keskin biri suçlunun kim olduğundan zaten oldukça eminmiş gibi görünüyor.","Someone with sharp perception already seems fairly sure who the culprit is.","","","","","","","","",""
"EVT_PARTY_INVESTIGATION_ACCUSE_RIGHT","Doğru kişiyi buldun. Eşya geri verildi, kervanın adı bu kadar çabuk çözüldüğü için büyüdü.","You've named the right one. The item is returned, and word of how quickly it was solved spreads.","","","","","","","","",""
"EVT_PARTY_INVESTIGATION_ACCUSE_WRONG","Yanlış kişiyi suçladın. Kervan bölündü, gerçek hırsız hâlâ aranızda gizleniyor.","You've accused the wrong one. The caravan is divided, and the real thief still walks among you unnoticed.","","","","","","","","",""
"EVT_PARTY_INVESTIGATION_OPT_DROP","Soruşturmayı bırak","Drop the investigation","","","","","","","","",""
"EVT_MILITARY_CONVOY_TITLE","Askeri Konvoy","Military Convoy","","","","","","","","",""
"EVT_MILITARY_CONVOY_TEXT","Silahlı bir askeri konvoy yolu kullanıyor. Subay, kervanın kenara çekip geçmesini bekliyor - ya da bir muhafızınız varsa, konvoya eskort teklif edebilirsiniz.","An armed military convoy is using the road. Its officer expects the caravan to pull aside and wait - or, if you carry a guard of your own, you could offer to escort them instead.","","","","","","","","",""
"EVT_MILITARY_CONVOY_OPT_YIELD","Kenara çek, geçmelerini bekle","Pull aside and let them pass","","","","","","","","",""
"EVT_MILITARY_CONVOY_OPT_ESCORT","Eskort teklif et (Muhafız gerekir)","Offer to escort them (requires a Muhafız)","","","","","","","","",""
"EVT_MILITARY_CONVOY_OPT_ESCORT_LOCKED","Kervanda Muhafız görevlisi yok","No one holds the Muhafız duty","","","","","","","","",""
"EVT_REFUGEE_COLUMN_TITLE","Mülteci Kolonu","Column of Refugees","","","","","","","","",""
"EVT_REFUGEE_COLUMN_TEXT","Evlerini terk etmiş bir mülteci kolonu yolun kenarında dinleniyor. Çocuklar açlıktan bitkin - erzağınızdan paylaşabilirsiniz, ya da geçip gidebilirsiniz.","A column of refugees who've left their homes rests by the roadside. The children look famished - you could share some of your stores, or simply pass by.","","","","","","","","",""
"EVT_REFUGEE_COLUMN_OPT_SHARE","Erzak paylaş (-6 erzak)","Share provisions (-6 provisions)","","","","","","","","",""
"EVT_REFUGEE_COLUMN_OPT_SHARE_LOCKED","Paylaşacak yeterli erzağın yok","You lack the provisions to share","","","","","","","","",""
"EVT_REFUGEE_COLUMN_OPT_PASS","Görmezden gel, geçip git","Look away and pass by","","","","","","","","",""
"EVT_MERCHANT_CARAVAN_TITLE","Karşıdan Gelen Kervan","A Caravan Passing","","","","","","","","",""
"EVT_MERCHANT_CARAVAN_TEXT","Ters istikametten başka bir tüccar kervanı geliyor. Yolun ortasında kısa bir alışveriş önerir - kazançlı da çıkabilirsin, kaybettirebilir de.","Another merchant caravan approaches from the opposite direction. Its leader proposes a quick roadside trade - it could work in your favor, or against it.","","","","","","","","",""
"EVT_MERCHANT_CARAVAN_OPT_TRADE","Teklifi kabul et, alışveriş yap","Take the offer and trade","","","","","","","","",""
"EVT_MERCHANT_CARAVAN_TRADE_GOOD","İyi bir pazarlık oldu, kârla ayrıldın (+30 GG).","It was a good bargain - you walk away with a profit (+30 GG).","","","","","","","","",""
"EVT_MERCHANT_CARAVAN_TRADE_FLAT","Teklif göründüğünden kötüymüş, biraz zararla ayrıldın (-10 GG).","The offer was worse than it looked - you take a small loss (-10 GG).","","","","","","","","",""
"EVT_MERCHANT_CARAVAN_OPT_WAVE","Elini salla, geç git","Wave and keep moving","","","","","","","","",""
"EVT_WAR_NEWS_TITLE","Bölgesel Savaş Haberi","News of a Regional War","","","","","","","","",""
"EVT_WAR_NEWS_TEXT","Karşılaştığınız gezginler önünüzdeki bölgede iki beyliğin savaştığını anlatıyor. Yollar bir süre daha tehlikeli olacak.","Travelers you meet tell of two lordships at war in the region ahead. The roads there will stay dangerous for a while.","","","","","","","","",""
"EVT_WAR_NEWS_OPT_BRACE","Kadroyu uyar, tetikte olun","Warn the company, stay alert","","","","","","","","",""
"EVT_WAR_NEWS_OPT_IGNORE","Haberi ciddiye alma","Shrug off the news","","","","","","","","",""
"EVT_PLAGUE_NEWS_TITLE","Veba Haberi","Word of Plague","","","","","","","","",""
"EVT_PLAGUE_NEWS_TEXT","Önünüzdeki şehirde bir hastalık yayıldığı söyleniyor. Şehre girdiğinizde mallar pahalı ve tedirgin bulacaksınız.","Word says a sickness has spread through the city ahead. Goods there will be dear and the mood uneasy when you arrive.","","","","","","","","",""
"EVT_PLAGUE_NEWS_OPT_WORRY","Endişelen, kadro tedirgin olur","Worry - the company grows uneasy","","","","","","","","",""
"EVT_PLAGUE_NEWS_OPT_IGNORE","Haberi ciddiye alma","Shrug off the news","","","","","","","","",""
"EVT_TRADE_FAIR_NEWS_TITLE","Ticaret Fuarı Haberi","News of a Trade Fair","","","","","","","","",""
"EVT_TRADE_FAIR_NEWS_TEXT","Önünüzdeki şehir büyük bir ticaret fuarına hazırlanıyor. Tüccarlar akın edecek, mallar bir süre ucuzlayacak.","The city ahead is preparing for a great trade fair. Merchants will flock there and goods will run cheap for a while.","","","","","","","","",""
"EVT_TRADE_FAIR_NEWS_OPT_HURRY","Kadroya müjdele, adımlar hızlansın","Share the good news - the pace quickens","","","","","","","","",""
"EVT_TRADE_FAIR_NEWS_OPT_IGNORE","Haberi ciddiye alma","Shrug off the news","","","","","","","","",""
"EVT_TRIBUTE_NEWS_TITLE","Haydut Haracı Haberi","News of a Bandit Tribute","","","","","","","","",""
"EVT_TRIBUTE_NEWS_TEXT","Önünüzdeki yolu bir haydut kralı ele geçirmiş - her geçen kervandan haraç istiyormuş. Silahlı bir tahsildar grubuyla karşılaşmaya hazırlanın.","A bandit king has seized the road ahead - he demands tribute from every caravan that passes. Expect an armed collector party.","","","","","","","","",""
"EVT_TRIBUTE_NEWS_OPT_BRACE","Kadroyu uyar, tetikte olun","Warn the company, stay alert","","","","","","","","",""
"EVT_TRIBUTE_NEWS_OPT_IGNORE","Haberi ciddiye alma","Shrug off the news","","","","","","","","",""
"EVT_TRIBUTE_TOLL_TITLE","Haraç Tahsildarları","The Tribute Collectors","","","","","","","","",""
"EVT_TRIBUTE_TOLL_TEXT","Haydut kralının silahlı tahsildarları yolu kesiyor. Ya haracı ödersin ya da yolunu yumrukla açarsın.","The bandit king's armed collectors block the road. Pay the tribute, or fight your way through.","","","","","","","","",""
"EVT_TRIBUTE_TOLL_OPT_PAY","Haracı öde (70 GG)","Pay the tribute (70 GG)","","","","","","","","",""
"EVT_TRIBUTE_TOLL_OPT_PAY_LOCKED","Haracı ödeyecek kadar altının yok","Not enough gold to pay the tribute","","","","","","","","",""
"EVT_TRIBUTE_TOLL_OPT_RESIST","Direniş göster","Resist","","","","","","","","",""
